	ALT_D2S	Alt_Count	Alt_Density	Alt_WESA_PEEPS	Count	CountNum	D2S	Date	Day	Density	FurtherCounts	Group	ID	Map	Method	Month	Observations	RecordID	Site	SiteID	Source	Time	Time_Duplicate	WESA_PEEPS	Year
144						2						Wesa	MAPL2013721_W2			7		MAPL2013721		MAPL	Online				
145						2						Wesa	ISVI2013720_W2			7		ISVI2013720		ISVI	Online				
146						2						Wesa	ISVI2013721_W2			7		ISVI2013721		ISVI	Online				
147					393	2	100 feet to water edge			Spread-out	Yes	Wesa	CROC2013720_W2		Direct Counts	7	Note: All counts were made standing on mud approximately 100 feet from the shoreline.  The mud past that point was to soft to walk on.  See photo looking north.	CROC2013720		CROC	Online	11:30			
148						2						Wesa	BB042013719_W2			7		BB042013719		BB04	Online				
149						2						Wesa	BB042013720_W2			7		BB042013720		BB04	Online				
150						2						Wesa	BB042013721_W2			7		BB042013721		BB04	Online				
151					0	2	400m				No	Wesa	DEEP2013719_W2			7		DEEP2013719		DEEP	Online	12:30			
152					0	2	370m				No	Wesa	DEEP2013720_W2			7		DEEP2013720		DEEP	Online	13:15			
153					0	2	340m				No	Wesa	DEEP2013721_W2	DBmaps		7		DEEP2013721		DEEP	Online	14:30			
154					0	2	35				Yes	Wesa	WHIF2013721_W2		Direct Counts	7		WHIF2013721		WHIF	Online	930			
155					0	2	>1km				Yes	Wesa	BB722013721_W2	See TideProgressionFRD72Jul21/13.pdf		7		BB722013721		BB72	Online	1445			
156					429	2	100 feet to water edge			Medium dense	Yes	Wesa	CROC2013721_W2		Block Estimates	7	29 were close and counted individually; 400 were counted by estimating groups of five.	CROC2013721		CROC	Online	11:30			
157						2						Wesa	WINT2013720_W2			7		WINT2013720		WINT	Online				
158						2						Wesa	SQUA2013720_W2			7		SQUA2013720		SQUA	Online				
159						2						Wesa	SQUA2013721_W2			7		SQUA2013721		SQUA	Online				
160					0	2	100				No	Wesa	SHPO2013720_W2		Direct Counts	7	Tides too far out and human activity intense. No shorebirds seen.	SHPO2013720		SHPO	Online	1215			
161					0	2	150				No	Wesa	SHPO2013721_W2		Direct Counts	7	same as previous	SHPO2013721		SHPO	Online	1330			
162					0	2	150				No	Wesa	SHPO2013722_W2		Direct Counts	7	same as July 20 and 21.	SHPO2013722		SHPO	Online	1430			
163					0	2	30m				Yes	Wesa	SANM2013720_W2		Direct Counts	7		SANM2013720		SANM	Online	11:45			
164					0	2					Yes	Wesa	SANM2013721_W2		Direct Counts	7		SANM2013721		SANM	Online	12:45			
165						2						Wesa	WHIF2013720_W2			7		WHIF2013720		WHIF	Online				
166						2						Wesa	EIDE2013721_W2			7		EIDE2013721		EIDE	Online				
167					0	2	375 metres				Yes	Wesa	PEDD2013720_W2		Direct Counts	7		PEDD2013720		PEDD	Online	815			
168					0	2	400 metres				Yes	Wesa	PEDD2013721_W2		Direct Counts	7		PEDD2013721		PEDD	Online	915			
169					0	2	60				Yes	Wesa	ALHE2013719_W2			7		ALHE2013719		ALHE	Online	815			
170					0	2					Yes	Wesa	ALHE2013720_W2			7		ALHE2013720		ALHE	Online	9:15			
171					0	2					Yes	Wesa	ALHE2013720_W2			7		ALHE2013720		ALHE	Online	9:15			
172					0	2	40				Yes	Wesa	ALHE2013721_W2			7	2 people on beach, but one mostly on rocks at the end of beach.	ALHE2013721		ALHE	Online	10:15			
173						2						Wesa	CHEM2013720_W2			7		CHEM2013720		CHEM	Online				
174					0	2	525 m				Yes	Wesa	VRYL2013720_W2		Direct Counts	7		VRYL2013720		VRYL	Online	09:15			
175					0	2	525 m				Yes	Wesa	VRYL2013721_W2		Direct Counts	7		VRYL2013721		VRYL	Online	10:15			
176						2						Wesa	SJEN2013719_W2			7		SJEN2013719		SJEN	Online				
177						2						Wesa	SJEN2013720_W2			7		SJEN2013720		SJEN	Online				
178						2						Wesa	SJEN2013721_W2			7		SJEN2013721		SJEN	Online				
179						2						Wesa	NJEN2013719_W2			7		NJEN2013719		NJEN	Online				
180						2						Wesa	NJEN2013720_W2			7		NJEN2013720		NJEN	Online				
181						2						Wesa	NJEN2013721_W2			7		NJEN2013721		NJEN	Online				
182						2						Wesa	ESQU2013816_W2			8		ESQU2013816		ESQU	Online				
183						2						Wesa	ESQU2013817_W2			8		ESQU2013817		ESQU	Online				
184					90	2	150m			Medium dense	Yes	Wesa	KALE2013817_W2		Direct Counts	8		KALE2013817		KALE	Online	16:40			
185						2						Wesa	ESQU2013818_W2			8		ESQU2013818		ESQU	Online				
186					0	2					Yes	Wesa	EIDE2013817_W2	Eide Road Ponds	Direct Counts	8	No WESA during this time period	EIDE2013817		EIDE	Online	1415-1430			
187						2						Wesa	GRIC2013818_W2			8		GRIC2013818		GRIC	Online				
188						2						Wesa	GRIC2013817_W2			8		GRIC2013817		GRIC	Online				
189					4	2	40 m			Spread-out	Yes	Wesa	DEEP2013816_W2		Direct Counts	8	feeding at west corner of the site	DEEP2013816		DEEP	Online	11:15			
190					75	2	400 m			Spread-out	Yes	Wesa	DEEP2013817_W2		Direct Counts	8	2 semipalmate plovers also feeding	DEEP2013817		DEEP	Online	11:15			
191					48	2	450			Spread-out	Yes	Wesa	DEEP2013818_W2		Direct Counts	8	3 groups,  counted from outer location	DEEP2013818		DEEP	Online	12:00			
192						2						Wesa	NANO2013817_W2			8		NANO2013817		NANO	Online				
193						2						Wesa	NANO2013818_W2			8		NANO2013818		NANO	Online				
194					5	2	50			Medium dense	Yes	Wesa	NJEN2013817_W2	Jensens_N_Aug17	Direct Counts	8	Among flock of about 70 least	NJEN2013817		NJEN	Online	9:15			
195					Unknown	2	20				Yes	Wesa	NJEN2013818_W2	Jensens_N_Aug18		8	Birds are in southwest corner, can not see  because the tide pushes my survey viewpoint inline. 	NJEN2013818		NJEN	Online	10:15			
196					450	2	75			Dense	Yes	Wesa	NJEN2013819_W2	Jensens_N_Aug19	Block Estimates	8	Same method 10:00. 500 total birds.	NJEN2013819		NJEN	Online	10:15			
197						2						Wesa	ENBO2013818_W2			8		ENBO2013818		ENBO	Online				
198					95	2	120m			Medium dense	Yes	Wesa	KALE2013818_W2		Direct Counts	8		KALE2013818		KALE	Online	16:30			
199					620	2	100yds			Medium dense	Yes	Wesa	CROC2013817_W2		Block Estimates	8	Flocks have generally coalesced to the northeast. Some small flocks moving west.	CROC2013817		CROC	Online	10:15am			
200					544	2	100yds			Spread-out	Yes	Wesa	CROC2013818_W2		Direct Counts	8	"In Close: 128
Distant: 416
  Merlin chased flock of 80+ WESA with some Least Sandpipers to the west."	CROC2013818		CROC	Online	10:15			
201					4	2	12			Dense	Yes	Wesa	SJEN2013817_W2	Jensens_S_Aug17	Direct Counts	8	25 Peeps total, several flocks seen leaving the area. 	SJEN2013817		SJEN	Online	9:15			
202					0	2	380				Yes	Wesa	MAPL2013817_W2	Maplewood Map 20130817		8	Observations from Obs. 1; Photos taken from Obs. 1 starting in S, clockwise; Location was moved due to tide closing in around our high bench. 	MAPL2013817		MAPL	Online	13:15			
203					15	2	25			Medium dense	Yes	Wesa	MAPL2013818_W2	Maplewood Map 20130818	Direct Counts	8	Observations of UNKNOWN sandpipers (mapped at 1.); location way over to the North; flew off, mingled with killdeer; came back to land behind a flock of gulls, invisible from our location due also to a dip in the ground where a creek is located (entering the bay); 	MAPL2013818		MAPL	Online	16:06			
204					14	2	5				Yes	Wesa	SJEN2013818_W2	Jensens_S_Aug18	Block Estimates	8	"Several flocks leaving towards south. 
70+40 Peeps. In a flock of 40 in front of us all peeps appear to be LESA. In others we used 10:00 (0.2) ratio for WESA. "	SJEN2013818		SJEN	Online	10:15			
205					28	2	170			Medium dense	Yes	Wesa	SJEN2013819_W2	Jensens_S_Aug19	Block Estimates	8	220 peeps, same ratio used at 10:00	SJEN2013819		SJEN	Online	10:15			
206						2						Wesa	ENBO2013817_W2			8		ENBO2013817		ENBO	Online				
207					50	2	5-30m			Medium dense	Yes	Wesa	SANM2013817_W2	Aug 17, San Malo Bay (1)	Direct Counts	8		SANM2013817		SANM	Online	12:45			
208					17	2	5-30m			Spread-out	Yes	Wesa	SANM2013818_W2	Aug 18, San Malo Bay (1)	Direct Counts	8		SANM2013818		SANM	Online	13:45			
